ZIPCODE,CAPACITY,DATE
92308,4.414,1/4/2019
92394,7.541,1/4/2019
92557,2.71,1/4/2019
92394,5.306,1/4/2019
91006,9.117,1/4/2019
92544,5.018,1/4/2019
92504,7.207,1/4/2019
92394,5.027,1/4/2019
90640,1.798,1/4/2019
91709,6.786,1/4/2019
91390,6.396,1/4/2019
92586,3.072,1/4/2019
92405,6.703,1/4/2019
92782,6.549,1/4/2019
91765,7.127,1/4/2019
92284,3.586,1/4/2019
92410,2.514,1/4/2019
91321,4.475,1/4/2019
92648,7.088,1/4/2019
93063,5.158,1/4/2019
90275,3.831,1/4/2019
92582,2.71,1/4/2019
92344,4.189,1/4/2019
92627,5.004,1/4/2019
90620,5.989,1/4/2019
92653,8.347,1/4/2019
91752,5.786,1/4/2019
92705,7.66,1/4/2019
92374,2.514,1/4/2019
92316,5.571,1/4/2019
92507,2.71,1/4/2019
93555,6.891,1/4/2019
93230,8.1,1/4/2019
91745,5.446,1/4/2019
92399,5.691,1/4/2019
92584,3.614,1/4/2019
92545,3.631,1/4/2019
93536,5.08,1/4/2019
92880,8.611,1/4/2019
91010,6.26,1/4/2019
92336,4.437,1/4/2019
92584,7.523,1/4/2019
93277,7.384,1/4/2019
93036,3.471,1/4/2019
92570,5.334,1/4/2019
92596,9.835,1/4/2019
92651,3.978,1/4/2019
93551,5.076,1/4/2019
92553,3.687,1/4/2019
91730,3.811,1/4/2019
93013,3.317,1/4/2019
92394,8.841,1/4/2019
92336,2.947,1/4/2019
92270,36.597,1/5/2019
92563,6.703,1/5/2019
92592,8.69,1/5/2019
92551,5.221,1/5/2019
92646,5.276,1/5/2019
92592,8.358,1/5/2019
93023,7.975,1/5/2019
93063,6.374,1/5/2019
92557,4.552,1/5/2019
92336,6.653,1/5/2019
93291,4.663,1/5/2019
92879,6.331,1/5/2019
92562,6.742,1/5/2019
92223,7.03,1/5/2019
92883,3.444,1/5/2019
93221,5.221,1/5/2019
91786,8.88,1/5/2019
91762,2.71,1/5/2019
92592,8.347,1/5/2019
92592,3.622,1/5/2019
92354,6.078,1/5/2019
92223,4.344,1/5/2019
90620,2.741,1/5/2019
93012,2.027,1/5/2019
93292,2.87,1/5/2019
93291,4.663,1/5/2019
92345,4.386,1/5/2019
90717,5.991,1/7/2019
92335,264.766,1/7/2019
90040,325.562,1/7/2019
92392,2.573,1/7/2019
92563,2.287,1/7/2019
91708,2.859,1/7/2019
93215,30.136,1/7/2019
92308,3.904,1/7/2019
90660,5.765,1/7/2019
91354,2.001,1/7/2019
92336,6.266,1/7/2019
91710,4.335,1/7/2019
92618,2.573,1/7/2019
92551,5.601,1/7/2019
92881,15.59,1/7/2019
92553,4.052,1/7/2019
91354,4.748,1/7/2019
92557,6.172,1/7/2019
91752,2.287,1/7/2019
91752,2.287,1/7/2019
91752,2.287,1/7/2019
91752,2.287,1/7/2019
91752,2.287,1/7/2019
92571,5.743,1/7/2019
92584,2.362,1/7/2019
90605,13.638,1/7/2019
92407,3.2,1/7/2019
92336,2.403,1/7/2019
91765,2.859,1/7/2019
91789,2.859,1/7/2019
91789,2.859,1/7/2019
91789,2.859,1/7/2019
91789,2.859,1/7/2019
91789,3.144,1/7/2019
92879,2.872,1/7/2019
93065,15.612,1/7/2019
92557,6.331,1/7/2019
91764,5.08,1/7/2019
92882,3.895,1/7/2019
92374,4.652,1/7/2019
92376,4.976,1/7/2019
92344,3.852,1/7/2019
90815,5.498,1/7/2019
92345,3.734,1/7/2019
90631,9.106,1/7/2019
92557,7.31,1/7/2019
93277,11.557,1/7/2019
92603,4.856,1/7/2019
92405,3.631,1/7/2019
91354,6.342,1/7/2019
92545,5.473,1/7/2019
92270,18.94,1/7/2019
92270,7.384,1/7/2019
90265,2.889,1/7/2019
90265,3.973,1/7/2019
92260,8.026,1/7/2019
92270,8.668,1/7/2019
92596,8.536,1/7/2019
93552,2.902,1/7/2019
90803,15.015,1/7/2019
92260,4.494,1/7/2019
92374,2.573,1/7/2019
92591,9.409,1/7/2019
92555,4.409,1/7/2019
92335,8.251,1/7/2019
92374,2.001,1/7/2019
90275,9.388,1/7/2019
92371,4.266,1/7/2019
92557,5.221,1/7/2019
92591,3.916,1/7/2019
92618,2.287,1/7/2019
91786,3.351,1/7/2019
92211,3.21,1/7/2019
93230,3.144,1/7/2019
91361,7.947,1/7/2019
92879,2.089,1/7/2019
92555,2.872,1/7/2019
92371,8.18,1/7/2019
90242,2.413,1/7/2019
91752,4.837,1/7/2019
92591,3.983,1/7/2019
92337,2.845,1/7/2019
92563,2.611,1/7/2019
92584,7.662,1/7/2019
93291,6.703,1/7/2019
92376,20.131,1/7/2019
91723,7.579,1/7/2019
91710,6.144,1/7/2019
92584,16.341,1/7/2019
91789,12.035,1/7/2019
90266,7.717,1/7/2019
92592,12.252,1/7/2019
90803,5.557,1/7/2019
90265,7.396,1/7/2019
92336,5.294,1/7/2019
92865,9.119,1/7/2019
92284,5.766,1/7/2019
91739,6.164,1/7/2019
91732,4.323,1/7/2019
92585,5.207,1/7/2019
92883,4.189,1/7/2019
92584,2.126,1/7/2019
92879,6.549,1/7/2019
92342,4.925,1/7/2019
91390,10.273,1/7/2019
93105,3.822,1/7/2019
92225,3.91,1/7/2019
90746,3.72,1/7/2019
92543,9.187,1/7/2019
92508,7.189,1/7/2019
90660,4.394,1/7/2019
92543,5.403,1/7/2019
93536,8.043,1/7/2019
90807,3.602,1/7/2019
92507,4.517,1/7/2019
92887,5.767,1/7/2019
90746,3.595,1/7/2019
92882,8.381,1/7/2019
93257,9.631,1/7/2019
92234,5.027,1/7/2019
92336,3.441,1/7/2019
92392,2.234,1/7/2019
92307,2.514,1/7/2019
92345,5.586,1/7/2019
92284,2.259,1/7/2019
92555,5.772,1/7/2019
93291,3.144,1/7/2019
92591,4.121,1/7/2019
93292,6.061,1/7/2019
92591,6.703,1/7/2019
91786,4.189,1/7/2019
92374,8.069,1/7/2019
92262,10.705,1/7/2019
91387,2.71,1/7/2019
93111,8.968,1/7/2019
92411,2.793,1/7/2019
93550,2.314,1/7/2019
92548,4.674,1/7/2019
92610,7.172,1/7/2019
92656,4.255,1/7/2019
93277,10.706,1/7/2019
91362,2.314,1/7/2019
92557,8.652,1/7/2019
93551,6.133,1/7/2019
90638,5.626,1/7/2019
92557,7.294,1/7/2019
92703,1.826,1/7/2019
92392,7.111,1/7/2019
93292,6.742,1/7/2019
92618,4.517,1/7/2019
93066,6.065,1/7/2019
92336,6.144,1/7/2019
93277,5.457,1/7/2019
92870,2.958,1/7/2019
92335,2.65,1/7/2019
93230,6.401,1/7/2019
91701,6.321,1/7/2019
92584,2.71,1/7/2019
93065,4.674,1/7/2019
93033,4.837,1/7/2019
92530,3.614,1/7/2019
93003,3.445,1/7/2019
