Zip,Latitude,Longitude
95211,37.981073,-121.308008
95229,38.110355,-120.45436
96050,41.831947,-122.9206
92281,33.037061,-115.6194
92623,33.686519,-117.830788
94938,38.017617,-122.6943
95044,37.189396,-121.705327
95344,37.378234,-120.617808
95456,39.268774,-123.75568
95111,37.284042,-121.82664
92057,33.240926,-117.29851
93108,34.433687,-119.63184
92567,33.819818,-117.11778
93703,36.767299,-119.765
94661,37.680181,-121.921498
90263,34.035087,-118.70752
92136,32.68342,-117.121913
93274,36.201451,-119.34994
90034,34.03056,-118.39804
94928,38.347174,-122.69537
94999,38.267466,-122.658097
95420,39.365356,-123.80469
93426,35.834919,-120.98093
94022,37.37714,-122.12412
94308,37.381144,-122.334825
91718,33.752886,-116.055617
92339,34.087114,-116.923
92811,33.640302,-117.769442
93654,36.608675,-119.43761
94011,37.381144,-122.334825
94169,37.784827,-122.727802
91617,33.786594,-118.298662
95832,38.464667,-121.49643
95992,39.020133,-121.681345
93708,36.746375,-119.639658
92202,33.752886,-116.055617
95103,37.189396,-121.705327
90270,33.988813,-118.18642
90805,33.865916,-118.18362
93608,36.523482,-120.38428
94558,38.337243,-122.30027
95432,39.103897,-123.64617
95444,38.434663,-122.8689
92808,33.858151,-117.73864
92860,33.925885,-117.55978
90632,33.640302,-117.769442
92038,33.016928,-116.846046
94529,37.777208,-121.955399
90733,33.786594,-118.298662
92285,34.31039,-116.45012
93232,36.138861,-119.894727
90506,33.786594,-118.298662
90807,33.828366,-118.18235
91948,32.875267,-116.42826
92236,33.679872,-116.17656
92506,33.943615,-117.37239
93902,36.35433,-121.132928
94405,37.381144,-122.334825
91204,34.135259,-118.25948
92233,33.131764,-115.51208
92398,34.909491,-116.84058
93642,36.746375,-119.639658
94240,38.377411,-121.444429
95009,37.189396,-121.705327
95674,38.961976,-121.48166
96054,41.285897,-121.16094
93943,36.35433,-121.132928
95697,38.751038,-121.832156
91614,33.786594,-118.298662
96115,41.688163,-120.23924
95651,38.817357,-120.92213
94153,37.784827,-122.727802
95232,38.356552,-120.58318
95257,38.377741,-120.45741
91980,32.588485,-116.63034
90638,33.90213,-118.00966
90608,33.786594,-118.298662
93238,35.784367,-118.43769
93675,36.713181,-119.18327
94023,37.189396,-121.705327
93604,37.364625,-119.51261
90265,34.051056,-118.80768
92555,33.922823,-117.16837
93006,34.032383,-119.1343
95321,37.840248,-120.04541
95978,39.904478,-121.52805
91372,33.786594,-118.298662
91396,33.786594,-118.298662
94245,38.377411,-121.444429
90293,33.957012,-118.44167
95431,38.347913,-122.51753
95914,39.425854,-121.35852
93633,36.734051,-118.958777
94020,37.28842,-122.22457
95119,37.232244,-121.79092
95404,38.457611,-122.69317
95426,38.835146,-122.72234
95452,38.414061,-122.54668
95525,40.907437,-123.88348
95735,38.805745,-120.13213
95570,41.081726,-124.13112
91307,34.197737,-118.64797
92132,32.643703,-117.138414
92416,34.839964,-115.967051
91358,34.032383,-119.1343
91896,33.786594,-118.298662
92652,33.640302,-117.769442
93794,36.746375,-119.639658
95726,38.749713,-120.53386
93032,34.032383,-119.1343
96063,40.371043,-121.58245
94045,37.381144,-122.334825
95305,37.824554,-120.25764
91733,34.05051,-118.04834
95517,38.692808,-120.818771
96160,39.3781,-120.186383
95128,37.316983,-121.93555
91116,33.786594,-118.298662
92517,33.752886,-116.055617
92365,34.896333,-116.63644
94146,37.784827,-122.727802
94165,37.784827,-122.727802
94271,38.377411,-121.444429
92324,34.061931,-117.31995
95120,37.213624,-121.85671
90005,34.058911,-118.30848
95605,38.592155,-121.52805
95130,37.289642,-121.98311
