ZIPCODE,CAPACITY,DATE
92844,5.643,1/2/2020
92570,3.614,1/2/2020
93551,9.112,1/2/2020
92881,10.364,1/2/2020
90660,185.565,1/2/2020
90604,7.505,1/2/2020
92880,1.996,1/2/2020
92880,1.996,1/2/2020
91744,4.141,1/2/2020
93274,16.905,1/2/2020
92544,11.912,1/2/2020
92336,11.128,1/2/2020
91350,3.836,1/2/2020
92879,6.47,1/2/2020
91011,9.77,1/2/2020
93021,5.154,1/2/2020
91350,3.614,1/2/2020
91350,3.836,1/2/2020
93510,4.31,1/2/2020
92587,10.649,1/2/2020
92392,11.528,1/2/2020
90631,2.546,1/2/2020
92374,2.647,1/2/2020
91320,6.078,1/2/2020
92307,35.976,1/2/2020
92585,4.917,1/2/2020
92604,4.917,1/2/2020
92584,7.764,1/2/2020
92270,3.792,1/2/2020
92530,3.614,1/2/2020
91362,13.578,1/2/2020
92570,4.4,1/2/2020
92835,13.886,1/2/2020
92562,7.277,1/2/2020
91350,2.877,1/2/2020
90638,10.806,1/2/2020
93230,9.044,1/2/2020
93274,8.986,1/2/2020
92376,11.266,1/2/2020
91390,6.253,1/2/2020
93277,5.016,1/2/2020
92618,2.181,1/2/2020
92584,7.378,1/2/2020
93010,2.694,1/2/2020
90712,5.104,1/2/2020
93010,2.694,1/2/2020
93010,4.041,1/2/2020
92240,5.105,1/2/2020
92260,47.248,1/2/2020
93534,3.494,1/2/2020
92373,5.774,1/2/2020
91354,6.697,1/2/2020
92567,6.791,1/2/2020
90814,2.506,1/2/2020
91786,4.158,1/2/2020
92571,6.943,1/2/2020
92843,3.602,1/2/2020
90638,3.902,1/2/2020
93015,7.895,1/2/2020
93117,4.736,1/2/2020
92704,3.467,1/2/2020
93552,5.882,1/2/2020
91381,7.197,1/2/2020
92563,8.813,1/2/2020
92371,11.362,1/2/2020
92584,3.672,1/2/2020
90620,7.243,1/2/2020
92392,8.116,1/2/2020
92392,5.893,1/2/2020
92336,7.453,1/2/2020
91764,2.883,1/2/2020
92883,11.138,1/2/2020
92780,5.282,1/2/2020
92585,8,1/2/2020
91773,4.559,1/2/2020
92867,10.204,1/2/2020
92404,5.655,1/2/2020
92270,2.296,1/2/2020
92551,3.892,1/2/2020
90807,8.773,1/2/2020
92394,5.881,1/2/2020
92886,10.414,1/2/2020
92320,2.877,1/2/2020
92504,2.71,1/2/2020
92345,6.162,1/2/2020
92563,5.818,1/2/2020
92618,2.71,1/2/2020
93536,3.177,1/2/2020
93292,4.593,1/2/2020
92264,5.674,1/2/2020
92270,4.376,1/2/2020
91786,4.81,1/2/2020
92270,4.376,1/2/2020
92584,2.334,1/2/2020
90712,5.812,1/2/2020
92584,2.334,1/2/2020
90755,3.419,1/2/2020
91387,1.807,1/2/2020
91350,3.614,1/2/2020
92270,3.501,1/2/2020
90061,3.686,1/2/2020
93117,4.803,1/2/2020
92592,9.005,1/2/2020
93012,3.002,1/2/2020
92545,4.803,1/2/2020
92585,7.353,1/2/2020
92260,7.432,1/2/2020
92691,5.57,1/2/2020
92557,5.611,1/2/2020
93514,8.314,1/2/2020
93035,8.105,1/2/2020
91740,5.117,1/2/2020
91768,12.591,1/2/2020
92865,4.245,1/2/2020
93063,9.726,1/2/2020
93536,17.749,1/2/2020
92392,9.858,1/2/2020
91351,12.96,1/2/2020
90241,5.552,1/2/2020
90703,5.182,1/2/2020
92545,4.595,1/2/2020
91390,3.08,1/2/2020
90630,7.252,1/2/2020
